id,rand,coef,t
512212,0.7919218181147989,4.8,1.520976218287e+12
512213,0.0210068740465229,1.02,1.520976262911e+12
512214,0.4954784592835881,1.98,1.520976281163e+12
512215,0.2213928294883559,1.28,1.520976309136e+12
512216,0.3044030445870951,1,1.520976330408e+12
512217,0.0823650923749351,1.09,1.52097634841e+12
512218,0.9180348813342943,12.19,1.520976367514e+12
512219,0.7050147463346467,1,1.520976432678e+12
512220,0.0549404395406461,1.06,1.52097645068e+12
512221,0.4780354174967006,1.91,1.520976469422e+12
512222,0.3716771552273252,1.59,1.520976496794e+12
512223,0.6996300894999016,3.33,1.520976521256e+12
512224,0.6868336018377061,3.19,1.520976558569e+12
512225,0.2809619268590962,1.39,1.520976595061e+12
512226,0.6381230653818052,2.76,1.520976617514e+12
512227,0.6495671692885382,2.85,1.520976651296e+12
512228,0.9175931007875113,12.12,1.520976685668e+12
512229,0.5094750613229060,2.04,1.520976750691e+12
512230,0.9310262419588462,14.48,1.520976779165e+12
512231,0.1913473499453038,1.24,1.520976848327e+12
512232,0.9624169019429053,26.58,1.520976869158e+12
512233,0.8527168368112102,6.78,1.520976952761e+12
512234,0.5698018184792721,2.32,1.520977004724e+12
512235,0.7455721645954931,3.93,1.520977035397e+12
512236,0.8721541536208601,7.82,1.52097707595e+12
512237,0.2356483475853802,1,1.520977131051e+12
512238,0.0445436174153685,1,1.520977149053e+12
512239,0.2563627558425913,1.34,1.520977167055e+12
512240,0.0444217447760566,1,1.520977188979e+12
512241,0.2568410465626141,1.35,1.520977206981e+12
